Date,Open,High,Low,Close,Volume
2026-05-28,178.39,182.62,176.15,180.0,1755508
2026-05-29,179.97,183.21,174.36,178.01,1802426
2026-05-30,178.04,178.66,173.83,176.45,1776227
2026-05-31,175.79,182.44,173.67,179.07,2902235
2026-06-01,179.59,185.34,179.59,181.72,2679506
2026-06-02,180.87,183.58,176.4,180.03,2883918
2026-06-03,179.98,186.75,179.83,182.84,2273814
2026-06-04,182.59,190.74,182.59,187.0,2606691
2026-06-05,187.66,187.66,182.84,185.37,1788340
2026-06-06,184.95,188.08,184.0,186.17,2634411
2026-06-07,185.89,189.8,182.5,186.0,2561763
2026-06-08,185.44,194.57,185.44,189.11,2540103
2026-06-09,188.35,189.81,186.31,188.48,3055654
2026-06-10,188.58,189.84,187.68,188.83,3070650
2026-06-11,187.96,195.95,187.96,192.52,2582643
2026-06-12,193.15,193.58,189.92,191.91,1990728
2026-06-13,191.06,193.44,190.43,191.86,2151410
2026-06-14,191.11,191.97,187.24,190.53,1983813
2026-06-15,190.7,193.35,189.81,191.93,2913928
2026-06-16,191.7,197.44,188.88,193.45,1765220
2026-06-17,194.09,194.09,189.27,190.91,2975883
2026-06-18,190.84,191.5,181.21,186.57,2990423
2026-06-19,186.61,186.61,184.3,185.27,2815045
2026-06-20,184.74,187.15,179.85,182.63,1888418
2026-06-21,183.49,183.49,177.62,180.26,2334183
2026-06-22,180.05,183.82,177.6,180.73,2190702
2026-06-23,181.11,186.39,179.55,184.33,2912909
2026-06-24,183.99,186.9,183.72,185.16,2403193
2026-06-25,185.06,201.76,185.06,191.55,2046814
2026-06-26,191.31,191.71,184.46,189.42,1884872
2026-06-27,188.78,197.67,188.47,193.63,1909445
2026-06-28,193.25,199.23,193.25,196.07,2610512
2026-06-29,196.92,196.92,189.32,193.48,1798019
2026-06-30,194.1,194.31,191.73,192.72,2228175
2026-07-01,192.79,195.02,187.28,191.19,2927477
2026-07-02,190.46,193.39,187.41,189.53,1711085
2026-07-03,190.46,194.92,186.87,190.96,1656103
2026-07-04,190.85,196.61,190.85,193.24,2793526
2026-07-05,193.34,197.98,191.21,194.35,1798571
2026-07-06,194.27,195.51,193.0,194.48,1746372
2026-07-07,193.77,200.76,193.77,196.37,2758719
2026-07-08,197.33,198.77,192.81,194.57,2834651
2026-07-09,194.6,197.4,189.83,193.76,2580388
2026-07-10,192.83,194.91,183.66,189.17,2122431
2026-07-11,188.27,192.87,186.67,191.07,2887628
2026-07-12,192.02,195.27,190.87,192.94,1768561
2026-07-13,193.18,193.78,191.46,192.75,2950315
2026-07-14,193.11,197.92,190.11,194.21,2108533
2026-07-15,194.23,195.89,190.49,193.06,1867821
2026-07-16,192.34,194.74,190.71,193.09,3044079
2026-07-17,192.94,193.27,190.58,191.68,1820318
2026-07-18,191.67,193.22,190.56,191.98,1865316
2026-07-19,192.62,193.98,188.52,191.19,2852348
2026-07-20,191.58,192.87,187.05,190.21,2724361
2026-07-21,190.17,194.24,188.79,191.53,1857575
2026-07-22,191.52,192.96,189.46,191.5,1800736
2026-07-23,190.62,197.68,190.42,194.91,1977841
2026-07-24,195.06,200.04,194.49,197.51,1988807
2026-07-25,197.55,199.48,194.85,197.01,1694995
2026-07-26,196.92,199.91,191.55,195.58,2441361
