Date,Open,High,Low,Close,Volume
2026-05-28,377.86,384.11,374.85,380.0,2760041
2026-05-29,378.88,386.63,377.4,382.98,1943239
2026-05-30,383.07,408.32,379.24,392.17,1905156
2026-05-31,391.2,398.39,391.2,395.59,1877368
2026-06-01,394.54,399.54,387.39,391.85,2023361
2026-06-02,393.67,393.83,385.31,388.14,2921160
2026-06-03,387.84,413.75,387.84,398.42,2079673
2026-06-04,398.27,419.16,398.1,407.22,2895345
2026-06-05,407.08,435.11,407.08,418.74,1961279
2026-06-06,418.41,432.8,418.41,425.27,2152030
2026-06-07,426.07,427.12,416.95,422.35,3034629
2026-06-08,423.3,423.3,415.06,418.85,1607970
2026-06-09,418.09,418.09,398.51,411.16,1763869
2026-06-10,409.24,409.48,398.7,405.68,3104041
2026-06-11,403.96,415.72,403.27,408.55,2747437
2026-06-12,408.53,408.53,379.2,396.28,2101549
2026-06-13,398.19,398.19,387.92,392.49,2603901
2026-06-14,391.99,396.11,391.79,394.61,2581324
2026-06-15,393.25,399.86,393.25,397.68,1791573
2026-06-16,398.41,401.48,381.23,390.03,2147407
2026-06-17,391.08,391.08,383.47,387.88,1584286
2026-06-18,387.09,387.09,359.5,375.26,2198311
2026-06-19,376.79,376.79,359.44,366.22,2616273
2026-06-20,365.81,376.74,360.69,371.1,2853939
2026-06-21,372.15,372.89,360.36,366.61,1831465
2026-06-22,367.46,390.07,367.46,376.18,2638471
2026-06-23,376.04,391.37,369.42,380.26,2218052
2026-06-24,379.49,389.48,379.49,384.59,2792771
2026-06-25,385.39,401.37,383.73,395.12,2366187
2026-06-26,396.48,403.03,394.21,400.3,1652293
2026-06-27,402.19,402.19,385.6,393.35,2980291
2026-06-28,394.42,409.55,394.42,401.84,3054729
2026-06-29,400.84,413.36,400.68,405.38,2318335
2026-06-30,406.53,414.9,403.49,409.55,2244347
2026-07-01,409.75,409.75,396.69,403.24,2583168
2026-07-02,403.15,403.15,387.93,397.32,3010629
2026-07-03,396.25,398.1,396.1,397.09,1638373
2026-07-04,396.88,405.0,396.82,401.97,2182563
2026-07-05,403.81,422.58,403.81,410.78,2614541
2026-07-06,412.47,429.98,407.65,424.04,2495006
2026-07-07,422.96,433.29,422.96,427.22,2293814
2026-07-08,425.48,438.92,422.61,434.45,3045394
2026-07-09,432.67,454.51,431.87,441.8,1940577
2026-07-10,443.63,451.77,437.49,444.95,2954123
2026-07-11,446.71,450.42,422.91,436.99,2479115
2026-07-12,437.82,445.96,433.48,440.26,2721225
2026-07-13,442.17,457.35,442.17,449.63,1769161
2026-07-14,451.13,465.2,442.71,453.64,2493049
2026-07-15,454.51,461.12,448.45,452.56,2665097
2026-07-16,451.21,459.25,446.91,455.62,2872223
2026-07-17,456.13,462.54,448.44,454.62,2148787
2026-07-18,453.8,456.57,447.9,452.03,2382202
2026-07-19,453.7,459.64,449.3,453.87,2006477
2026-07-20,451.88,456.48,446.73,451.03,2673600
2026-07-21,449.07,457.85,447.39,453.73,2687156
2026-07-22,451.97,458.53,443.03,450.64,1688394
2026-07-23,450.16,461.22,443.68,453.85,2984691
2026-07-24,454.75,455.95,449.45,453.3,2517127
2026-07-25,454.02,457.92,451.91,453.98,2154437
2026-07-26,455.82,466.57,451.38,456.56,1803741
