Date,Open,High,Low,Close,Volume
2026-05-28,454.08,454.08,444.63,450.0,2481540
2026-05-29,448.23,449.85,440.71,447.08,2012131
2026-05-30,448.46,462.93,443.2,454.13,2707121
2026-05-31,454.54,462.12,451.31,455.84,2115005
2026-06-01,456.55,477.21,455.7,468.04,2596270
2026-06-02,467.39,485.5,463.99,475.36,2694885
2026-06-03,474.65,508.37,474.65,491.38,2059341
2026-06-04,492.91,492.91,475.97,483.5,2825760
2026-06-05,483.21,502.77,481.33,490.8,2870725
2026-06-06,491.95,495.69,484.59,491.31,2649502
2026-06-07,489.89,509.88,485.0,500.88,2835654
2026-06-08,501.15,508.73,488.2,496.41,2677903
2026-06-09,494.2,506.19,489.08,500.14,1871469
2026-06-10,502.6,515.83,499.35,505.7,2908247
2026-06-11,505.05,533.02,505.05,516.05,2334323
2026-06-12,517.34,519.97,501.75,511.37,1976373
2026-06-13,513.7,515.51,509.88,512.05,2529818
2026-06-14,511.99,511.99,485.33,501.32,3139649
2026-06-15,502.93,502.93,479.49,490.59,2990398
2026-06-16,489.12,493.2,485.99,488.37,2331662
2026-06-17,490.06,498.14,484.53,490.63,1909549
2026-06-18,490.32,507.89,490.32,497.94,1855376
2026-06-19,499.7,501.76,496.41,498.82,2035252
2026-06-20,498.5,501.41,493.38,496.5,2470908
2026-06-21,495.14,495.14,475.98,483.64,2685996
2026-06-22,483.05,487.58,478.71,483.11,2859302
2026-06-23,481.9,493.62,475.69,487.26,2703700
2026-06-24,486.93,500.83,486.93,492.76,2887529
2026-06-25,492.43,505.68,492.43,500.35,2711389
2026-06-26,498.5,505.34,497.29,500.89,2693253
2026-06-27,503.29,507.9,490.01,498.83,2641280
2026-06-28,497.37,498.8,467.33,481.4,1939288
2026-06-29,480.31,481.52,465.55,472.34,2488852
2026-06-30,473.18,483.85,472.18,478.38,3052808
2026-07-01,479.07,481.21,473.99,477.94,2594716
2026-07-02,476.26,482.09,453.16,466.23,2605077
2026-07-03,464.74,475.3,464.24,468.18,1633513
2026-07-04,465.94,471.38,456.66,461.99,2197337
2026-07-05,460.37,472.62,460.37,466.31,2843814
2026-07-06,468.12,475.01,465.71,470.63,1937652
2026-07-07,472.74,476.1,467.42,469.95,2296843
2026-07-08,469.04,478.76,468.87,474.0,2180461
2026-07-09,472.28,500.09,467.91,484.39,2424551
2026-07-10,486.2,497.59,484.06,488.81,2469732
2026-07-11,489.85,496.81,485.33,489.18,2659514
2026-07-12,488.54,502.79,484.13,496.53,2276409
2026-07-13,496.57,501.17,484.54,489.54,2631332
2026-07-14,490.64,510.02,487.69,501.63,2165199
2026-07-15,501.34,507.3,499.85,502.84,2843239
2026-07-16,503.49,531.65,503.49,515.1,2559048
2026-07-17,512.74,515.15,506.14,512.3,2381977
2026-07-18,510.29,515.49,505.19,510.06,2103892
2026-07-19,507.9,516.27,507.9,513.55,1685433
2026-07-20,512.38,528.41,512.38,522.33,2762209
2026-07-21,520.06,521.12,498.95,513.4,2194815
2026-07-22,515.39,515.39,511.42,513.45,1724257
2026-07-23,515.21,526.13,510.02,515.95,2984413
2026-07-24,518.19,519.03,507.79,514.85,3035119
2026-07-25,517.03,518.55,507.56,512.01,2732981
2026-07-26,511.76,516.06,508.59,512.91,2888598
